lineage	WHO
B.1.1.7|Q	Alpha
B.1.351	Beta
P.1	Gamma
B.1.429|B.1.427	Epsilon
B.1.525	Eta
B.1.526	Iota
B.1.617.1	Kappa
B.1.617.3	B.1.617.3
B.1.621|B.1.621.1	Mu
P.2	Zeta
B.1.617.2|AY	Delta
B.1.1.529	Omicron (Original)
BA.1	Omicron (BA.1)
BA.2	Omicron (BA.2)
  
