cluster_id,PD,Oster
c1,0.0001083396,7302.55789268096
c2,4.37744e-05,26446.6307360233
c3,7.67013e-05,39721.4336252387
c4,2e-06,285714.285715286
c5,0.0001095625,30873.1307651405
c6,0.0001072435,7460.0825668111
c7,0.0001819708,19804.8432197605
c8,0.0001879462,3879.02759181667
c9,0.0001796053,6555.355775141
c10,0.0002144105,6278.33347357651
c11,0.0002552542,24776.0384525235
c12,0.000217108,12784.5850026941
c13,0.0001463075,27426.1893410651
c14,0.000393385,1159.21671655469
c15,0.0001460735,5838.8494636934
c16,0.0001106055,15110.7219961518
c17,0.0001837219,11188.0420928792
c18,0.0001477281,33697.8965021615
c19,0.0002533206,22642.3254852767
c20,0.000148026,27170.0738664929
c21,0.0001822765,3712.7407345107
c22,0.0001100846,10991.7207410372
c23,0.0001109935,12366.9349428351
c24,0.0001871026,25820.4828033967
c25,0.0001487012,17626.5913143787
c26,0.0001796563,19640.9343681244
c27,0.0001996966,36980.9131050956
c28,0.0001805078,8553.40184096705
c29,0.000150586,14530.8166113403
Background,0.2333247611,366.521389310692
