SampleName	Run	PangoLineage
Shands-VTM-100	R01-NS2208	B.1.2
Shands-VTM-101	R01-NS2208	B.1.2
Shands-VTM-102	R01-NS2208	B.1.425
Shands-VTM-104	R01-NS2208	B.1.311
Shands-VTM-106	R01-NS2208	B.1.544
Shands-VTM-108	R01-NS2208	B.1.243
Shands-VTM-109	R01-NS2208	B.1.2
Shands-VTM-110	R01-NS2208	B.1.243
Shands-VTM-111	R01-NS2208	B.1.243
Shands-VTM-112	R01-NS2208	B.1.311
Shands-VTM-113	R01-NS2208	B.1.243
Shands-VTM-114	R01-NS2208	B.1.2
Shands-VTM-115	R01-NS2208	B.1.1.485
Shands-VTM-116	R01-NS2208	B.1.2
Shands-VTM-117	R01-NS2208	B.1.2
Shands-VTM-119	R01-NS2208	B.1.2
Shands-VTM-122	R01-NS2208	B.1.2
Shands-VTM-124	R01-NS2208	B.1.311
Shands-VTM-125	R01-NS2208	B.1.2
Shands-VTM-126	R01-NS2208	B.1.2
Shands-VTM-128	R01-NS2208	B.1.1.416
Shands-VTM-132	R01-NS2208	B.1.243
Shands-VTM-133	R01-NS2208	B.1.2
Shands-VTM-138	R01-NS2208	B.1.243
Shands-VTM-139	R01-NS2208	B.1.2
Shands-VTM-141	R01-NS2208	B.1.2
Shands-VTM-142	R01-NS2208	B.1.243
Shands-VTM-143	R01-NS2208	B.1.234
Shands-VTM-146	R01-NS2208	B.1.2
Shands-VTM-147	R01-NS2208	B.1.243
Shands-VTM-148	R01-NS2208	B.1.311
Shands-VTM-151	R01-NS2208	B.1.2
Shands-VTM-152	R01-NS2208	B.1.595
Shands-VTM-153	R01-NS2208	B.1.2
Shands-VTM-156	R01-NS2208	B.1.596
Shands-VTM-157	R01-NS2208	B.1.243
Shands-VTM-158	R01-NS2208	B.1.243
Shands-VTM-160	R01-NS2208	B.1.525
Shands-VTM-164	R01-NS2208	B.1.525
Shands-VTM-166	R01-NS2208	B.1.596
Shands-VTM-172	R01-NS2208	B.1.311
Shands-VTM-182	R01-NS2208	B.1.243
Shands-VTM-183	R01-NS2208	B.1.1
Shands-VTM-184	R01-NS2208	B.1.234
Shands-VTM-186	R01-NS2208	B.1.311
Shands-VTM-188	R01-NS2208	B.1
Shands-VTM-190	R01-NS2208	B.1.2
Shands-VTM-191	R01-NS2208	B.1.429
Shands-VTM-193	R01-NS2208	B.1.2
Shands-VTM-194	R01-NS2208	B.1.409
Shands-VTM-196	R01-NS2208	B.1.2
Shands-VTM-197	R01-NS2208	B.1.429
Shands-VTM-199	R01-NS2208	B.1.311
Shands-VTM-200	R01-NS2208	B.1.234
Shands-VTM-204	R01-NS2208	B.1.2
Shands-VTM-205	R01-NS2208	B.1.577
Shands-VTM-206	R01-NS2208	B.1.2
Shands-VTM-210	R01-NS2208	B.1.2
Shands-VTM-211	R01-NS2208	B.1.2
Shands-VTM-215	R01-NS2208	B.1.2
Shands-VTM-217	R01-NS2208	B.1.2
Shands-VTM-218	R01-NS2208	B.1.564
Shands-VTM-219	R01-NS2208	B.1.234
Shands-VTM-220	R01-NS2208	B.1.2
Shands-VTM-221	R01-NS2208	B.1.2
Shands-VTM-222	R01-NS2208	B.1.2
Shands-VTM-223	R01-NS2208	B.1.1
Shands-VTM-224	R01-NS2208	B.1.243
Shands-VTM-226	R01-NS2208	B.1.2
Shands-VTM-229	R01-NS2208	B.1.580
Shands-VTM-230	R01-NS2208	B.1.2
Shands-VTM-231	R01-NS2208	B.1.243
Shands-VTM-236	R01-NS2208	B.1.177
Shands-VTM-238	R01-NS2208	B.1.2
Shands-VTM-239	R01-NS2208	B.1.1.316
Shands-VTM-240	R01-NS2208	B.1.2
